vendor_name,category
Artisan Cheese Co,Prepared Foods
Berry Patch Produce,Produce
Campus Crafts,Other
Colonial Bakes,Baked Goods
Colonial Kettle Corn,Prepared Foods
Daily Bread Co,Baked Goods
Goat Milk Soap Co,Other
Green Garden Farm,Produce
Happy Tails Treats,Other
Hearthside Meats,Meat
Heritage Hen Farm,Produce
Jamestown Jams,Prepared Foods
Old Dominion Sausage Co,Meat
Pasta Fresca,Prepared Foods
Pure Earth Organics,Produce
River City Tacos,Prepared Foods
Salsa Verde Kitchen,Prepared Foods
Spice Route Blends,Other
Sunny Side Eggs,Produce
Sweet Crumb Cookies,Baked Goods
Williamsburg Coffee Co,Prepared Foods
Williamsburg Pickles,Prepared Foods
Williamsburg Pops,Prepared Foods
York River Vegetables,Produce
