market_date,vendor_name
2026-04-11,Green Garden Farm
2026-04-11,Berry Patch Produce
2026-04-11,York River Vegetables
2026-04-11,Pure Earth Organics
2026-04-11,Sunny Side Eggs
2026-04-11,Heritage Hen Farm
2026-04-11,Colonial Bakes
2026-04-11,Daily Bread Co
2026-04-11,Pasta Fresca
2026-04-11,Williamsburg Pickles
2026-04-11,Colonial Kettle Corn
2026-04-11,Salsa Verde Kitchen
2026-04-11,Williamsburg Coffee Co
2026-04-11,Happy Tails Treats
2026-04-11,Hearthside Meats
2026-04-11,Old Dominion Sausage Co
2026-04-18,Green Garden Farm
2026-04-18,Berry Patch Produce
2026-04-18,York River Vegetables
2026-04-18,Pure Earth Organics
2026-04-18,Sunny Side Eggs
2026-04-18,Heritage Hen Farm
2026-04-18,Colonial Bakes
2026-04-18,Daily Bread Co
2026-04-18,Williamsburg Pickles
2026-04-18,Colonial Kettle Corn
2026-04-18,Salsa Verde Kitchen
2026-04-18,Williamsburg Coffee Co
2026-04-18,Happy Tails Treats
2026-04-18,Hearthside Meats
2026-04-18,Old Dominion Sausage Co
2026-04-25,Green Garden Farm
2026-04-25,Berry Patch Produce
2026-04-25,York River Vegetables
2026-04-25,Pure Earth Organics
2026-04-25,Sunny Side Eggs
2026-04-25,Heritage Hen Farm
2026-04-25,Colonial Bakes
2026-04-25,Daily Bread Co
2026-04-25,Pasta Fresca
2026-04-25,Williamsburg Pickles
2026-04-25,Colonial Kettle Corn
2026-04-25,Salsa Verde Kitchen
2026-04-25,Williamsburg Coffee Co
2026-04-25,Happy Tails Treats
2026-04-25,Hearthside Meats
2026-04-25,Old Dominion Sausage Co
2026-05-02,Green Garden Farm
2026-05-02,Berry Patch Produce
2026-05-02,York River Vegetables
2026-05-02,Pure Earth Organics
2026-05-02,Sunny Side Eggs
2026-05-02,Heritage Hen Farm
2026-05-02,Colonial Bakes
2026-05-02,Daily Bread Co
2026-05-02,Williamsburg Pickles
2026-05-02,Colonial Kettle Corn
2026-05-02,Salsa Verde Kitchen
2026-05-02,Williamsburg Coffee Co
2026-05-02,Happy Tails Treats
2026-05-02,Jamestown Jams
2026-05-02,Sweet Crumb Cookies
2026-05-02,Spice Route Blends
